title,agent_section,your_section,agent,you,reason
Givan announces award of professional learning programm,"Teacher recruitment, retention & development",Four Nations,include,include,strong fit - school leadership developme
"New heads need more than a one-off qualification, say c","Teacher recruitment, retention & development","Teacher recruitment, retention & development",include,exclude,strong fit - headteacher career progress
Secondary teacher job adverts hit a historic low as mar,"Teacher recruitment, retention & development","Teacher recruitment, retention & development",include,include,strong fit - secondary teacher recruitme
Five things the government can do to ensure SEND reform,Political environment and key organisations,What matters in education?,include,include,strong fit - policy analysis on governme
Teacher resilience ‘depends on system-wide change’,"Teacher recruitment, retention & development","Teacher recruitment, retention & development",include,include,strong fit - teacher resilience and work
Call it what it is: The impact of online misogyny on ch,What matters in education?,EdTech,include,undecided,strong fit - young people's wellbeing an
A healthy labour market?,"Teacher recruitment, retention & development","Teacher recruitment, retention & development",include,include,strong fit - school staffing and labour 
Limitations of technical fixes in AI policy,EdTech,EdTech,include,include,strong fit - critical policy analysis of
Uncovering Edtech's Embedded Values: Making the Case fo,EdTech,Update from PI / Programme,include,include,strong fit - research on educational tec
Experts at Hand: Everything you need to know ,Political environment and key organisations,Political environment and key organisations,include,include,strong fit - DfE policy announcement on 
When multilateralism fractures: Reimagining educational,Research – Practice – Policy,What matters in education?,exclude,include,"off-scope - international focus, Nigeria"
"The London school that has screen-free days for pupils,",EdTech,EdTech,include,include,strong fit - school practice on digital 
Attendance mentors intervention: year 2 and 3 evaluatio,Research – Practice – Policy,Political environment and key organisations,include,undecided,strong fit - intervention evaluation on 
"‘I love it, but I hate it’ – Young people’s experiences",What matters in education?,What matters in education?,include,include,strong fit - young people's digital expe
Parental support for a social media minimum age of 16,Political environment and key organisations,Political environment and key organisations,include,exclude,strong fit - policy consultation analysi
Breakfast club early adopters: interim evaluation,Research – Practice – Policy,Political environment and key organisations,include,include,strong fit - intervention evaluation on 
School workforce in England 2025,"Teacher recruitment, retention & development","Teacher recruitment, retention & development",include,exclude,strong fit - comprehensive workforce sta
Falling pupil numbers should lead to smaller class size,Political environment and key organisations,"Teacher recruitment, retention & development",include,include,strong fit - policy debate on teacher nu
Ofsted: It is time for a primary-specific inspection fr,Political environment and key organisations,Research – Practice – Policy,include,exclude,strong fit - Ofsted framework reform pro
Invitation to inspection: A shared quest for improvemen,Political environment and key organisations,What matters in education?,include,include,strong fit - Ofsted inspection model ref
